request_id,concept_id,episode_id,geography,repeat_count,repeat_ids,row_count,repeated_request,nesting_interpretation,eligible_for_pairwise_repeat_agreement
3124a7b93627d95b9bea9d020e66484c22842ffe18d350128dff1e818b8e55b4,context_heavy_rain,7b036a07d1c28215e94073743eb9b98afce66f35162eb330c594bf1de210da98,US-WY,1,repeat_1,1,no,single_export_request_concept,no
3124a7b93627d95b9bea9d020e66484c22842ffe18d350128dff1e818b8e55b4,context_weather,7b036a07d1c28215e94073743eb9b98afce66f35162eb330c594bf1de210da98,US-WY,1,repeat_1,1,no,single_export_request_concept,no
3124a7b93627d95b9bea9d020e66484c22842ffe18d350128dff1e818b8e55b4,flash_flood,7b036a07d1c28215e94073743eb9b98afce66f35162eb330c594bf1de210da98,US-WY,1,repeat_1,1,no,single_export_request_concept,no
3124a7b93627d95b9bea9d020e66484c22842ffe18d350128dff1e818b8e55b4,flood,7b036a07d1c28215e94073743eb9b98afce66f35162eb330c594bf1de210da98,US-WY,1,repeat_1,1,no,single_export_request_concept,no
3124a7b93627d95b9bea9d020e66484c22842ffe18d350128dff1e818b8e55b4,flooding,7b036a07d1c28215e94073743eb9b98afce66f35162eb330c594bf1de210da98,US-WY,1,repeat_1,1,no,single_export_request_concept,no
3f56c0edeefc278665060df9109a1f9205dbbd0b8a3b70a9df2e31781ea6abaa,context_heavy_rain,2b8c3b13ba6ba6894d71787047199464879cd0f152296a20978fba0705db15b0,US-MS,1,repeat_1,1,no,single_export_request_concept,no
3f56c0edeefc278665060df9109a1f9205dbbd0b8a3b70a9df2e31781ea6abaa,context_weather,2b8c3b13ba6ba6894d71787047199464879cd0f152296a20978fba0705db15b0,US-MS,1,repeat_1,1,no,single_export_request_concept,no
3f56c0edeefc278665060df9109a1f9205dbbd0b8a3b70a9df2e31781ea6abaa,flash_flood,2b8c3b13ba6ba6894d71787047199464879cd0f152296a20978fba0705db15b0,US-MS,1,repeat_1,1,no,single_export_request_concept,no
3f56c0edeefc278665060df9109a1f9205dbbd0b8a3b70a9df2e31781ea6abaa,flood,2b8c3b13ba6ba6894d71787047199464879cd0f152296a20978fba0705db15b0,US-MS,1,repeat_1,1,no,single_export_request_concept,no
3f56c0edeefc278665060df9109a1f9205dbbd0b8a3b70a9df2e31781ea6abaa,flooding,2b8c3b13ba6ba6894d71787047199464879cd0f152296a20978fba0705db15b0,US-MS,1,repeat_1,1,no,single_export_request_concept,no
4fa3e3a43c4e51fcb0aa3fa5df49b66986cfd384077fbfa4604b656bfb01a091,context_heavy_rain,c811f5a7a428ef05a76332a251ad22012716ccef8880582ed303c4765656835a,US-KS,1,repeat_1,1,no,single_export_request_concept,no
4fa3e3a43c4e51fcb0aa3fa5df49b66986cfd384077fbfa4604b656bfb01a091,context_weather,c811f5a7a428ef05a76332a251ad22012716ccef8880582ed303c4765656835a,US-KS,1,repeat_1,1,no,single_export_request_concept,no
4fa3e3a43c4e51fcb0aa3fa5df49b66986cfd384077fbfa4604b656bfb01a091,flash_flood,c811f5a7a428ef05a76332a251ad22012716ccef8880582ed303c4765656835a,US-KS,1,repeat_1,1,no,single_export_request_concept,no
4fa3e3a43c4e51fcb0aa3fa5df49b66986cfd384077fbfa4604b656bfb01a091,flood,c811f5a7a428ef05a76332a251ad22012716ccef8880582ed303c4765656835a,US-KS,1,repeat_1,1,no,single_export_request_concept,no
4fa3e3a43c4e51fcb0aa3fa5df49b66986cfd384077fbfa4604b656bfb01a091,flooding,c811f5a7a428ef05a76332a251ad22012716ccef8880582ed303c4765656835a,US-KS,1,repeat_1,1,no,single_export_request_concept,no
50f911f9065e4bffc0fb160b9dd45c31834661cc0d5f8044df5137692e85c8df,context_heavy_rain,7c98d6b702ff2407abb66776b817d9dd2396f8d7ca4b73e7d7b3e2106c7c1cf0,US-WA,1,repeat_1,1,no,single_export_request_concept,no
50f911f9065e4bffc0fb160b9dd45c31834661cc0d5f8044df5137692e85c8df,context_weather,7c98d6b702ff2407abb66776b817d9dd2396f8d7ca4b73e7d7b3e2106c7c1cf0,US-WA,1,repeat_1,1,no,single_export_request_concept,no
50f911f9065e4bffc0fb160b9dd45c31834661cc0d5f8044df5137692e85c8df,flash_flood,7c98d6b702ff2407abb66776b817d9dd2396f8d7ca4b73e7d7b3e2106c7c1cf0,US-WA,1,repeat_1,1,no,single_export_request_concept,no
50f911f9065e4bffc0fb160b9dd45c31834661cc0d5f8044df5137692e85c8df,flood,7c98d6b702ff2407abb66776b817d9dd2396f8d7ca4b73e7d7b3e2106c7c1cf0,US-WA,1,repeat_1,1,no,single_export_request_concept,no
50f911f9065e4bffc0fb160b9dd45c31834661cc0d5f8044df5137692e85c8df,flooding,7c98d6b702ff2407abb66776b817d9dd2396f8d7ca4b73e7d7b3e2106c7c1cf0,US-WA,1,repeat_1,1,no,single_export_request_concept,no
d7825d9b97515a3207c965a659da8883e2f3663ea0dbd5402565a7b9febf5351,context_heavy_rain,a0cd69165cb73cd416136b722be3038e738d6bd0bd68e5d14421c4514701a2b3,US-FL,2,repeat_1;repeat_2,2,yes,concept_nested_within_repeated_request,yes
d7825d9b97515a3207c965a659da8883e2f3663ea0dbd5402565a7b9febf5351,context_weather,a0cd69165cb73cd416136b722be3038e738d6bd0bd68e5d14421c4514701a2b3,US-FL,2,repeat_1;repeat_2,2,yes,concept_nested_within_repeated_request,yes
d7825d9b97515a3207c965a659da8883e2f3663ea0dbd5402565a7b9febf5351,flash_flood,a0cd69165cb73cd416136b722be3038e738d6bd0bd68e5d14421c4514701a2b3,US-FL,2,repeat_1;repeat_2,2,yes,concept_nested_within_repeated_request,yes
d7825d9b97515a3207c965a659da8883e2f3663ea0dbd5402565a7b9febf5351,flood,a0cd69165cb73cd416136b722be3038e738d6bd0bd68e5d14421c4514701a2b3,US-FL,2,repeat_1;repeat_2,2,yes,concept_nested_within_repeated_request,yes
d7825d9b97515a3207c965a659da8883e2f3663ea0dbd5402565a7b9febf5351,flooding,a0cd69165cb73cd416136b722be3038e738d6bd0bd68e5d14421c4514701a2b3,US-FL,2,repeat_1;repeat_2,2,yes,concept_nested_within_repeated_request,yes
